city;state_id;state_name;county_name;lat;lon;latlon
Lankin;ND;North Dakota;Walsh;48.3147;-97.9203;48.31,-97.92
Put-in-Bay;OH;Ohio;Ottawa;41.6518;-82.8179;41.65,-82.82
Pearl;IL;Illinois;Pike;39.4597;-90.6237;39.46,-90.62
Willow City;ND;North Dakota;Bottineau;48.6047;-100.2933;48.6,-100.29
Media;IL;Illinois;Henderson;40.7694;-90.8327;40.77,-90.83
Corona;NM;New Mexico;Lincoln;34.2501;-105.597;34.25,-105.6
Arthur;NE;Nebraska;Arthur;41.5718;-101.6923;41.57,-101.69
Baileyville;KS;Kansas;Nemaha;39.8485;-96.1903;39.85,-96.19
Rutherford;CA;California;Napa;38.4568;-122.4231;38.46,-122.42
Ebro;MN;Minnesota;Clearwater;47.4942;-95.5411;47.49,-95.54
Hutchinson;NJ;New Jersey;Warren;40.78;-75.1204;40.78,-75.12
Thompson Springs;UT;Utah;Grand;38.9636;-109.7037;38.96,-109.7
Kingvale;CA;California;Nevada;39.3204;-120.4387;39.32,-120.44
Johnson Prairie;OK;Oklahoma;Cherokee;36.0791;-94.9759;36.08,-94.98
Upper Red Hook;NY;New York;Dutchess;42.0262;-73.8456;42.03,-73.85
Adamsburg;PA;Pennsylvania;Westmoreland;40.3124;-79.6543;40.31,-79.65
Monterey;KY;Kentucky;Owen;38.4233;-84.8728;38.42,-84.87
Cold Bay;AK;Alaska;Aleutians East;55.2122;-162.7475;55.21,-162.75
Hattieville;AR;Arkansas;Conway;35.289;-92.7813;35.29,-92.78
Glen Echo Park;MO;Missouri;St. Louis;38.7009;-90.2965;38.7,-90.3
Summit;OK;Oklahoma;Muskogee;35.6694;-95.4208;35.67,-95.42
Bern;KS;Kansas;Nemaha;39.9612;-95.9713;39.96,-95.97
Pax;WV;West Virginia;Fayette;37.9098;-81.2648;37.91,-81.26
Taft;OK;Oklahoma;Muskogee;35.7608;-95.5454;35.76,-95.55
Lawtonka Acres;OK;Oklahoma;Comanche;34.7789;-98.5305;34.78,-98.53
Pine Level;FL;Florida;Santa Rosa;30.8887;-87.1687;30.89,-87.17
El Castillo;TX;Texas;Starr;26.3348;-98.6391;26.33,-98.64
Olive;OK;Oklahoma;Creek;36.0225;-96.4766;36.02,-96.48
La Rose;IL;Illinois;Marshall;40.9786;-89.2349;40.98,-89.23
Chillicothe;IA;Iowa;Wapello;41.0861;-92.53;41.09,-92.53
Altoona;FL;Florida;Lake;28.9681;-81.6482;28.97,-81.65
Westboro;MO;Missouri;Atchison;40.535;-95.3211;40.54,-95.32
Milford;CA;California;Lassen;40.1634;-120.3686;40.16,-120.37
Birney;MT;Montana;Rosebud;45.4155;-106.4934;45.42,-106.49
Du Bois;NE;Nebraska;Pawnee;40.0346;-96.0466;40.03,-96.05
North San Juan;CA;California;Nevada;39.3719;-121.106;39.37,-121.11
Furnace Creek;CA;California;Inyo;36.4277;-116.8747;36.43,-116.87
Lake Ellsworth Addition;OK;Oklahoma;Comanche;34.8368;-98.3213;34.84,-98.32
Ponca;AR;Arkansas;Newton;36.0287;-93.364;36.03,-93.36
Rock Creek Park;CO;Colorado;El Paso;38.7011;-104.8347;38.7,-104.83
Othello;NJ;New Jersey;Cumberland;39.4114;-75.3426;39.41,-75.34
Woodlawn Heights;IN;Indiana;Madison;40.1184;-85.6968;40.12,-85.7
Hope;NM;New Mexico;Eddy;32.8159;-104.7371;32.82,-104.74
Elk Creek;NE;Nebraska;Johnson;40.2883;-96.1269;40.29,-96.13
Cordova;NE;Nebraska;Seward;40.7164;-97.3516;40.72,-97.35
Lane;IL;Illinois;De Witt;40.122;-88.8558;40.12,-88.86
Rulo;NE;Nebraska;Richardson;40.0518;-95.4301;40.05,-95.43
Sharon;ND;North Dakota;Steele;47.5974;-97.8994;47.6,-97.9
Tatum;SC;South Carolina;Marlboro;34.6438;-79.5867;34.64,-79.59
Odessa;MN;Minnesota;Big Stone;45.2622;-96.3335;45.26,-96.33
Browndell;TX;Texas;Jasper;31.1254;-93.9802;31.13,-93.98
Allenville;MO;Missouri;Cape Girardeau;37.2217;-89.7555;37.22,-89.76
Osage;OK;Oklahoma;Osage;36.295;-96.4179;36.3,-96.42
Paradise Hill;OK;Oklahoma;Sequoyah;35.6137;-95.0703;35.61,-95.07
Franklin;AZ;Arizona;Greenlee;32.677;-109.072;32.68,-109.07
West Millgrove;OH;Ohio;Wood;41.2428;-83.4915;41.24,-83.49
Floris;IA;Iowa;Davis;40.8645;-92.3326;40.86,-92.33
Lublin;WI;Wisconsin;Taylor;45.0749;-90.7238;45.07,-90.72
Pontiac;MO;Missouri;Ozark;36.5165;-92.6037;36.52,-92.6
Fowler;IL;Illinois;Adams;40.0088;-91.2578;40.01,-91.26
Burna;KY;Kentucky;Livingston;37.2456;-88.3589;37.25,-88.36
Mansfield;SD;South Dakota;Brown;45.2465;-98.5581;45.25,-98.56
Eagles Mere;PA;Pennsylvania;Sullivan;41.4102;-76.5832;41.41,-76.58
Winterville;MS;Mississippi;Washington;33.5024;-91.0603;33.5,-91.06
Ryder;ND;North Dakota;Ward;47.9211;-101.6694;47.92,-101.67
Wintersburg;AZ;Arizona;Maricopa;33.4187;-112.8666;33.42,-112.87
Silver Gate;MT;Montana;Park;45.0198;-109.9829;45.02,-109.98
Phillips;OK;Oklahoma;Coal;34.5043;-96.2232;34.5,-96.22
Big Creek;WV;West Virginia;Logan;38.0054;-82.0361;38.01,-82.04
Rosine;KY;Kentucky;Ohio;37.4523;-86.7374;37.45,-86.74
Valle;AZ;Arizona;Coconino;35.6598;-112.1637;35.66,-112.16
C-Road;CA;California;Plumas;39.7627;-120.577;39.76,-120.58
Richards;MO;Missouri;Vernon;37.9105;-94.557;37.91,-94.56
Water Valley;KY;Kentucky;Graves;36.5687;-88.8101;36.57,-88.81
Lone Rock;IA;Iowa;Kossuth;43.2209;-94.3253;43.22,-94.33
Elwin;IL;Illinois;Macon;39.7763;-88.9778;39.78,-88.98
Miltonsburg;OH;Ohio;Monroe;39.8313;-81.1646;39.83,-81.16
Rush Hill;MO;Missouri;Audrain;39.2104;-91.7246;39.21,-91.72
Wawona;CA;California;Mariposa;37.5447;-119.6387;37.54,-119.64
Armstrong;OK;Oklahoma;Bryan;34.0528;-96.3448;34.05,-96.34
New Bavaria;OH;Ohio;Henry;41.2037;-84.1674;41.2,-84.17
Cusseta;AL;Alabama;Chambers;32.7876;-85.3057;32.79,-85.31
Longview;IL;Illinois;Champaign;39.8859;-88.0662;39.89,-88.07
Milan;KS;Kansas;Sumner;37.2571;-97.6741;37.26,-97.67
Graysville;OH;Ohio;Monroe;39.6633;-81.1746;39.66,-81.17
Pomaria;SC;South Carolina;Newberry;34.2677;-81.4192;34.27,-81.42
Tucker;AR;Arkansas;Jefferson;34.4395;-91.9519;34.44,-91.95
Purdin;MO;Missouri;Linn;39.9509;-93.1664;39.95,-93.17
Oketo;KS;Kansas;Marshall;39.9632;-96.5989;39.96,-96.6
Galloway;WV;West Virginia;Barbour;39.2339;-80.1277;39.23,-80.13
Reeder;ND;North Dakota;Adams;46.1059;-102.9422;46.11,-102.94
Sedan;MT;Montana;Gallatin;45.9653;-110.8888;45.97,-110.89
Dunbar;VA;Virginia;Wise;36.9733;-82.7459;36.97,-82.75
Filley;NE;Nebraska;Gage;40.2851;-96.5339;40.29,-96.53
Norwich;OH;Ohio;Muskingum;39.9844;-81.7925;39.98,-81.79
Talking Rock;GA;Georgia;Pickens;34.5239;-84.4895;34.52,-84.49
Herron Island;WA;Washington;Pierce;47.2645;-122.8348;47.26,-122.83
Perley;MN;Minnesota;Norman;47.1761;-96.8015;47.18,-96.8
Gravity;IA;Iowa;Taylor;40.7608;-94.7435;40.76,-94.74
Butters;NC;North Carolina;Bladen;34.5603;-78.8489;34.56,-78.85
Kicking Horse;MT;Montana;Lake;47.4568;-114.0717;47.46,-114.07
Rainsville;IN;Indiana;Warren;40.414;-87.3158;40.41,-87.32
Angostura;SD;South Dakota;Fall River;43.3192;-103.386;43.32,-103.39
Bergoo;WV;West Virginia;Webster;38.4849;-80.2981;38.48,-80.3
Mapletown;PA;Pennsylvania;Greene;39.805;-79.9407;39.81,-79.94
Century;WV;West Virginia;Barbour;39.1003;-80.1883;39.1,-80.19
Brush Creek;OK;Oklahoma;Delaware;36.4165;-94.7838;36.42,-94.78
Higden;AR;Arkansas;Cleburne;35.5667;-92.2049;35.57,-92.2
Coronaca;SC;South Carolina;Greenwood;34.2595;-82.0969;34.26,-82.1
Addington;OK;Oklahoma;Jefferson;34.2431;-97.9661;34.24,-97.97
Mineral;WA;Washington;Lewis;46.7193;-122.186;46.72,-122.19
Rome;IA;Iowa;Henry;40.982;-91.6817;40.98,-91.68
Hankins;NY;New York;Sullivan;41.8214;-75.0804;41.82,-75.08
Gu Oidak;AZ;Arizona;Pima;31.9206;-112.0235;31.92,-112.02
Fraser;IA;Iowa;Boone;42.1242;-93.9699;42.12,-93.97
Winchester;AR;Arkansas;Drew;33.7741;-91.4737;33.77,-91.47
Duncan;IA;Iowa;Hancock;43.1052;-93.7059;43.11,-93.71
Ferguson;IA;Iowa;Marshall;41.9386;-92.8629;41.94,-92.86
Atlanta;NE;Nebraska;Phelps;40.3684;-99.4732;40.37,-99.47
Newhalen;AK;Alaska;Lake and Peninsula;59.727;-154.897;59.73,-154.9
Antelope;OR;Oregon;Wasco;44.9113;-120.7236;44.91,-120.72
Allport;AR;Arkansas;Lonoke;34.5399;-91.7839;34.54,-91.78
Sharpsburg;IA;Iowa;Taylor;40.8029;-94.6405;40.8,-94.64
Kilgore;NE;Nebraska;Cherry;42.9391;-100.9573;42.94,-100.96
Rock House;AZ;Arizona;Gila;33.6318;-110.9456;33.63,-110.95
Bethel;MO;Missouri;Shelby;39.8779;-92.0221;39.88,-92.02
Streeter;ND;North Dakota;Stutsman;46.6576;-99.3568;46.66,-99.36
Cloverdale;OR;Oregon;Tillamook;45.2006;-123.8842;45.2,-123.88
Manassas;GA;Georgia;Tattnall;32.1603;-82.02;32.16,-82.02
Crystal Mountain;MI;Michigan;Benzie;44.5216;-86.0032;44.52,-86
Hillsdale;OK;Oklahoma;Garfield;36.5632;-97.9927;36.56,-97.99
La Rosita;TX;Texas;Starr;26.4017;-98.9322;26.4,-98.93
Elk City;ID;Idaho;Idaho;45.8266;-115.4378;45.83,-115.44
Whiting;WY;Wyoming;Platte;42.0089;-104.9711;42.01,-104.97
Stone City;IA;Iowa;Jones;42.11;-91.3543;42.11,-91.35
Peoria;OK;Oklahoma;Ottawa;36.9156;-94.6696;36.92,-94.67
Liebenthal;KS;Kansas;Rush;38.6544;-99.3202;38.65,-99.32
Holters Crossing;PA;Pennsylvania;Centre;40.9721;-77.7242;40.97,-77.72
Rew;PA;Pennsylvania;McKean;41.8992;-78.5388;41.9,-78.54
Rozel;KS;Kansas;Pawnee;38.1954;-99.4032;38.2,-99.4
Whittlesey;WI;Wisconsin;Taylor;45.2206;-90.3232;45.22,-90.32
Hutton;MD;Maryland;Garrett;39.4145;-79.4801;39.41,-79.48
Knife River;MN;Minnesota;Lake;46.9495;-91.7837;46.95,-91.78
Lake Lindsey;FL;Florida;Hernando;28.6322;-82.3617;28.63,-82.36
Melstone;MT;Montana;Musselshell;46.5987;-107.8683;46.6,-107.87
Long Island;KS;Kansas;Phillips;39.9462;-99.534;39.95,-99.53
Stockholm;SD;South Dakota;Grant;45.1018;-96.7998;45.1,-96.8
Bragg City;MO;Missouri;Pemiscot;36.2681;-89.9114;36.27,-89.91
Smithfield;NE;Nebraska;Gosper;40.5733;-99.7409;40.57,-99.74
Ericson;NE;Nebraska;Wheeler;41.7803;-98.6785;41.78,-98.68
Goodridge;MN;Minnesota;Pennington;48.1442;-95.8039;48.14,-95.8
Blountsville;IN;Indiana;Henry;40.0598;-85.2384;40.06,-85.24
Ricketts;IA;Iowa;Crawford;42.128;-95.5749;42.13,-95.57
Lucas;IA;Iowa;Lucas;41.0322;-93.461;41.03,-93.46
Gracey;KY;Kentucky;Christian;36.8792;-87.6638;36.88,-87.66
Primrose;AK;Alaska;Kenai Peninsula;60.3497;-149.3199;60.35,-149.32
Bruceton Mills;WV;West Virginia;Preston;39.6594;-79.6406;39.66,-79.64
Regan;ND;North Dakota;Burleigh;47.1568;-100.5273;47.16,-100.53
Sanford;TX;Texas;Hutchinson;35.7026;-101.5319;35.7,-101.53
Montezuma;OH;Ohio;Mercer;40.4891;-84.5497;40.49,-84.55
Naubinway;MI;Michigan;Mackinac;46.0911;-85.4518;46.09,-85.45
Salem;NE;Nebraska;Richardson;40.0769;-95.7286;40.08,-95.73
Montier;MO;Missouri;Shannon;36.9817;-91.5749;36.98,-91.57
Deer Creek;IN;Indiana;Carroll;40.615;-86.3904;40.62,-86.39
Blodgett Landing;NH;New Hampshire;Merrimack;43.3757;-72.0392;43.38,-72.04
McLean;NE;Nebraska;Pierce;42.3861;-97.4682;42.39,-97.47
Baker;OK;Oklahoma;Texas;36.8704;-101.0177;36.87,-101.02
Wanda;MN;Minnesota;Redwood;44.3148;-95.2131;44.31,-95.21
Choptank;MD;Maryland;Caroline;38.6822;-75.9494;38.68,-75.95
Pine Lake;AZ;Arizona;Mohave;35.0887;-113.874;35.09,-113.87
Franks Field;WI;Wisconsin;Ashland;46.5522;-90.5989;46.55,-90.6
Celeryville;OH;Ohio;Huron;41.0287;-82.7273;41.03,-82.73
Saverton;MO;Missouri;Ralls;39.6466;-91.2725;39.65,-91.27
Gibson Flats;MT;Montana;Cascade;47.464;-111.2404;47.46,-111.24
Ragsdale;IN;Indiana;Knox;38.7467;-87.3241;38.75,-87.32
Lakeview North;WY;Wyoming;Platte;42.0969;-104.9586;42.1,-104.96
Shannon City;IA;Iowa;Union;40.899;-94.2639;40.9,-94.26
Cokedale;CO;Colorado;Las Animas;37.1444;-104.6216;37.14,-104.62
Goodrich;ND;North Dakota;Sheridan;47.4759;-100.1247;47.48,-100.12
Gilliam;LA;Louisiana;Caddo;32.8282;-93.8418;32.83,-93.84
Culver;KS;Kansas;Ottawa;38.9701;-97.7592;38.97,-97.76
Sour John;OK;Oklahoma;Muskogee;35.6206;-95.1432;35.62,-95.14
Tracy;MT;Montana;Cascade;47.4102;-111.1537;47.41,-111.15
Mercer;ND;North Dakota;McLean;47.4905;-100.7104;47.49,-100.71
Estelline;TX;Texas;Hall;34.547;-100.44;34.55,-100.44
Sykeston;ND;North Dakota;Wells;47.466;-99.3993;47.47,-99.4
Tyaskin;MD;Maryland;Wicomico;38.3196;-75.8729;38.32,-75.87
Maramec;OK;Oklahoma;Pawnee;36.2419;-96.6805;36.24,-96.68
Nelson Lagoon;AK;Alaska;Aleutians East;55.8451;-161.6103;55.85,-161.61
Blacktail;ND;North Dakota;Williams;48.4327;-103.74;48.43,-103.74
Colon;NE;Nebraska;Saunders;41.2981;-96.6069;41.3,-96.61
Sula;MT;Montana;Ravalli;45.8453;-113.9629;45.85,-113.96
Dimock;SD;South Dakota;Hutchinson;43.4764;-97.9888;43.48,-97.99
Morse Bluff;NE;Nebraska;Saunders;41.431;-96.7666;41.43,-96.77
Spencer;SD;South Dakota;McCook;43.7273;-97.5911;43.73,-97.59
Tarrytown;GA;Georgia;Montgomery;32.3187;-82.5595;32.32,-82.56
Nemaha;NE;Nebraska;Nemaha;40.3388;-95.676;40.34,-95.68
Glen Lyn;VA;Virginia;Giles;37.3727;-80.858;37.37,-80.86
Helmville;MT;Montana;Powell;46.8614;-112.9629;46.86,-112.96
Aullville;MO;Missouri;Lafayette;39.0175;-93.6779;39.02,-93.68
